Count,old_skill,new_skill
61,Algorithm Design,Algorithms
3,Algorithms,Algorithms
9,Analytics,Analytics
45,Android,Misc
36,Apache Spark,Misc
41,Architecture,Architecture
19,Architectures,Architecture
42,Automation,Misc
24,AWS,AWS
5,Big Data,Big Data
50,Business Intelligence,Misc
38,C,C++
10,C++,C++
51,Cassandra,Misc
33,Computer Vision,Computer Vision
7,Data Mining,Data Mining
2,Data Science,Data Science
62,Data Science Scripting,Misc
37,Databases,Misc
21,Deep Learning,Deep Learning
22,Distributed Systems,Distributed Systems
63,EMPTY,Misc
64,Engineering Management,Misc
55,Enterprise Software,Misc
25,ETL,ETL
65,Firewalls,Misc
52,Functional Programming,Misc
46,Game Development,Misc
53,Go,Misc
4,Hadoop,Hadoop
66,HTTP,Misc
56,Image Processing,Misc
23,Information Retrieval,Information Retrieval
29,Java,Java
57,LAMP,Misc
34,Leadership,Management
1,Machine Learning,Machine Learning
11,Management,Management
17,MapReduce,MapReduce
67,Mathematical Modeling,Misc
48,Mathematics,Misc
14,Matlab,Matlab
54,MySQL,Misc
43,Natural Language Processing,Misc
68,Network Architecture,Misc
8,Optimization,Optimization
69,Optimization Data Science,Misc
47,OS X,Misc
44,PHP,Misc
70,Product Design Data Science,Misc
16,Product Management,Product Management
6,Python,Python
58,Recommender Systems,Misc
26,Relational Databases,Relational Databases
32,REST,REST
30,Ruby,Ruby
15,Scala,Scala
31,Scalability,Scalability
49,Scripting,Misc
39,Search,Misc
59,Signal Processing,Misc
35,Software Design,Software Design
12,SQL,SQL
13,Statistics,Statistics
18,Strategy,Strategy
20,Technical Leadership,Technical Leadership
71,Test Driven Development,Misc
40,Time Series Analysis,Misc
60,Tomcat,Misc
27,User Experience,User Experience
72,Web Services,Misc
28,Windows,Windows
